path,label,type,f0_base
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0000.wav,0,real,251.37500362173532
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0000.wav,1,fake,251.37500362173532
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0001.wav,0,real,166.12811068835794
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0001.wav,1,fake,166.12811068835794
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0002.wav,0,real,114.53023517567766
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0002.wav,1,fake,114.53023517567766
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0003.wav,0,real,192.7197372649532
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0003.wav,1,fake,192.7197372649532
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0004.wav,0,real,126.70934437037704
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0004.wav,1,fake,126.70934437037704
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0005.wav,0,real,208.68777011644502
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0005.wav,1,fake,208.68777011644502
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0006.wav,0,real,253.22438755082743
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0006.wav,1,fake,253.22438755082743
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0007.wav,0,real,140.41762140435605
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0007.wav,1,fake,140.41762140435605
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0008.wav,0,real,184.57696740587977
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0008.wav,1,fake,184.57696740587977
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0009.wav,0,real,249.51540556969005
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0009.wav,1,fake,249.51540556969005
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0010.wav,0,real,195.56601997534733
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0010.wav,1,fake,195.56601997534733
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0011.wav,0,real,184.02916073476905
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0011.wav,1,fake,184.02916073476905
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0012.wav,0,real,140.8603971861028
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0012.wav,1,fake,140.8603971861028
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0013.wav,0,real,171.52398486798683
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0013.wav,1,fake,171.52398486798683
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0014.wav,0,real,174.12283458622528
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0014.wav,1,fake,174.12283458622528
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0015.wav,0,real,121.51353592527994
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0015.wav,1,fake,121.51353592527994
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0016.wav,0,real,181.89074306785432
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0016.wav,1,fake,181.89074306785432
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0017.wav,0,real,225.15427847344355
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0017.wav,1,fake,225.15427847344355
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0018.wav,0,real,200.52620285986478
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0018.wav,1,fake,200.52620285986478
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0019.wav,0,real,124.14419755366623
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0019.wav,1,fake,124.14419755366623
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0020.wav,0,real,107.86590976648681
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0020.wav,1,fake,107.86590976648681
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0021.wav,0,real,191.5298362132915
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0021.wav,1,fake,191.5298362132915
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0022.wav,0,real,114.96848552792812
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0022.wav,1,fake,114.96848552792812
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0023.wav,0,real,213.78012154406565
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0023.wav,1,fake,213.78012154406565
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0024.wav,0,real,209.9534628445321
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0024.wav,1,fake,209.9534628445321
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0025.wav,0,real,111.76011585829468
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0025.wav,1,fake,111.76011585829468
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0026.wav,0,real,223.94753354393552
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0026.wav,1,fake,223.94753354393552
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0027.wav,0,real,204.91794274753704
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0027.wav,1,fake,204.91794274753704
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0028.wav,0,real,237.20844236537775
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0028.wav,1,fake,237.20844236537775
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0029.wav,0,real,239.77640010806925
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0029.wav,1,fake,239.77640010806925
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0030.wav,0,real,214.84613501168897
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0030.wav,1,fake,214.84613501168897
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0031.wav,0,real,155.31129892776093
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0031.wav,1,fake,155.31129892776093
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0032.wav,0,real,144.76686308573784
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\fake\fake_clone_0032.wav,1,fake,144.76686308573784
D:\Program Files Drive D\Voice detection\SIH26104_Voice_Shield\data\real\real_spk_0033.wav,0,real,137.7007100960562
